Word,Count
{,34
+,30
},29
=,16
if,14
static,11
the,11
to,10
public,10
\"\\n"\);\,10
\Log.LogWrite("\\,7
\"\\,6
heat,6
!=,5
is,5
assembly,5
in,5
path,4
void,4
sink,4
else,4
this,3
Version,3
>,3
an,3
__instance),3
Postfix(Mech,3
\[HarmonyPatch("\InitStats"\)]\,3
class,3
of,3
return,3
you,3
null),3
CustomActivatableEquipment.Core.Epsilon),3
__instance.ActiveDefaultComponents();,3
Type[],3
string,3
[HarmonyPatch(new,3
})],3
[HarmonyPatch(MethodType.Normal)],3
==,3
num,3
following,3
false;,2
*=,2
};,2
&&,2
(mech.occupiedDesignMask.heatSinkMultiplier),2
*,2
attribute,2
\multiplier:"\\,2
<,2
\dissipation:"\\,2
1f)),2
values,2
component,2
null,2
ActivatableComponent,2
VFX,2
activatable.FailFlatChance),2
new,2
not,2
\Dictionary<string,\,2
can,2
sinks,2
activate,2
type,2
Revision,2
COM,2
activatable,2
foreach,2
component.componentDef.GetComponent<ActivatableComponent>();,2
for,2
\null\n"\);\,2
ComVisible,2
activatable.FailFlatChance;,2
that,2
information,2
Build,2
set,2
apath,1
position,1
shown,1
(float)Math.Round(((double)OnlineHeatDissipation,1
this.spawnedObject.GetComponent<ParticleSystem>();,1
\activatable\n"\);\,1
\stringBuilder.Append("\Mech\,1
int,1
(this.AutoActivateOnOverheatLevel,1
specify,1
obj);,1
float,1
[HarmonyPatch(typeof(Mech))],1
OnlineHeatDissipation,1
Core.currentActiveComponentsDlg.Add(activatable);,1
Major,1
Minor,1
return;,1
\Log.LogWrite("\Mech.GetHeatSinkDissipation:"\\,1
ActiveDefaultComponents(this,1
\__result+"\\n"\);\,1
\Path.Combine(Log.m_logfile,\,1
General,1
Log.LogWrite(e.ToString(),1
combat,1
comes,1
Offline,1
'*',1
unit),1
\"\:"\+__instance.GUID+"\\n"\);\,1
GameObject>();,1
using,1
(this.AutoActivateOnHeat,1
component.applyImpactTempMask(fakeWeapon);,1
\assets:"\\,1
on,1
(new,1
true);,1
associated,1
(activateEffect,1
measure,1
var,1
component.ActivateVFX();,1
project,1
\COM,\,1
true),1
Numbers,1
{continue;},1
(OnlineHeatDissipation),1
Turret_InitStats,1
(double)mech.Combat.Constants.Heat.GlobalHeatSinkMultiplier)));,1
\Log.LogWrite("\asset\,1
code,1
need,1
(failChance,1
be,1
Heat,1
controlled,1
[HarmonyPatch(typeof(Turret))],1
\stringBuilder.Append("\Temporary\,1
what,1
\load:"\\,1
visible,1
catch,1
try,1
as,1
(activatable.AutoActivateOnHeat,1
Log.m_logfile,1
assetName);,1
\Dictionary<string,List<ComponentToggle>>\,1
\ActivatableComponent.activateComponent(component,\,1
\AssemblyVersion("\1.0.*"\)]\,1
assetName,1
modify,1
e),1
true,1
\become:"\\,1
mech.occupiedDesignMask.heatSinkMultiplier;,1
activated,1
default,1
makes,1
\was:"\+__result);\,1
Number,1
false),1
miscComponent.getCCGUID(),1
want,1
System.Uri(Assembly.GetExecutingAssembly().CodeBase)).AbsolutePath;,1
dedicated,1
currentActiveComponentsDlg,1
__instance.DisplayName,1
manualy,1
(Exception,1
\"\CustomAmmoCategories.log"\);\,1
types,1
Core.Settings.AdditionalAssets),1
assetBundle,1
\AdditinalFXObjects.Add(obj.name,\,1
List<ActivatableComponent>();,1
consists,1
If,1
\multiplyer:"\\,1
\!Mathf.Approximately(mech.occupiedDesignMask.heatSinkMultiplier,\,1
You,1
know,1
\stringBuilder.Append("\Biome\,1
Mech_InitStats,1
\ActivatableComponent.setComponentFailChance(component,\,1
activateEffect.SpawnSelf(component.parent.Combat);,1
m_assemblyFile;,1
four,1
UnityEngine.GameObject[],1
can't,1
access,1
Core.Settings.AdditionalAssets.Count,1
objects),1
((double)num,1
dissipation,1
AbstractActor,1
component.AoEExplodeComponent();,1
continue;,1
no,1
GameObject>,1
\stringBuilder.Append("\Online\,1
<=,1
but,1
(mech.occupiedDesignMask,1
through,1
The,1
\hit\n"\);\,1
\Path.Combine(directory,\,1
(var,1
0),1
Core.currentActiveComponentsDlg.Clear();,1
chance,1
activateEffect,1
ParticleSystem,1
component.defId,1
false,1
i'm,1
